total trips,total member,total casual
4649,3640,1009
2644,1917,727
739,678,61
145,113,32
83,80,3
4714,2294,2420
413,399,14
1811,1499,312
2118,1116,1002
595,573,22
203,126,77
402,268,134
5459,3450,2009
1599,1316,283
524,285,239
245,204,41
1390,1371,19
312,299,13
3041,1950,1091
3015,1846,1169
142,100,42
4730,1902,2828
881,288,593
204,115,89
80,73,7
240,186,54
2398,1253,1145
4575,2833,1742
261,212,49
291,267,24
346,268,78
2810,2674,136
1638,1494,144
1496,1339,157
716,457,259
648,638,10
546,305,241
63,62,1
4969,3619,1350
1280,1069,211
225,96,129
5048,3688,1360
1397,1371,26
518,316,202
2071,1772,299
1709,1438,271
1676,890,786
1534,1429,105
66,64,2
6108,3040,3068
2655,2293,362
1268,1049,219
112,108,4
220,192,28
634,425,209
3148,2958,190
493,480,13
102,89,13
4592,2767,1825
1640,1579,61
166,146,20
1840,1426,414
1012,859,153
2767,2524,243
504,457,47
672,635,37
1850,1118,732
4774,2869,1905
504,499,5
82,69,13
529,313,216
3059,1863,1196
262,122,140
106,93,13
372,236,136
2395,2308,87
2361,1605,756
767,602,165
813,628,185
782,761,21
7262,3371,3891
182,167,15
2969,2011,958
84,73,11
755,657,98
551,543,8
288,288,0
948,931,17
416,404,12
564,414,150
293,290,3
496,490,6
1083,845,238
478,466,12
93,61,32
40,40,0
1087,986,101
50,39,11
857,754,103
524,503,21
861,778,83
3483,2641,842
99,74,25
4900,3094,1806
2005,1512,493
761,676,85
69,66,3
181,142,39
35,28,7
74,67,7
613,542,71
3915,2541,1374
477,327,150
2889,1708,1181
338,108,230
328,328,0
601,548,53
2207,1298,909
6126,3367,2759
7472,2405,5067
746,595,151
2416,2208,208
1418,1119,299
29,29,0
90,87,3
1422,644,778
2736,2031,705
939,620,319
116,93,23
6579,2812,3767
3119,2140,979
869,834,35
113,84,29
303,300,3
709,511,198
539,412,127
919,748,171
1246,1197,49
569,557,12
1286,1023,263
89,69,20
67,66,1
609,556,53
38,37,1
444,243,201
1585,917,668
2663,2344,319
3503,1953,1550
397,337,60
1577,1537,40
440,380,60
528,479,49
3922,2597,1325
645,434,211
57,57,0
2163,2053,110
1648,1378,270
1962,1447,515
2077,1989,88
101,88,13
3393,2063,1330
355,351,4
382,111,271
2436,1440,996
1469,865,604
493,476,17
2227,2016,211
4680,3750,930
1537,1201,336
736,650,86
1486,996,490
901,835,66
959,568,391
82,78,4
691,414,277
923,686,237
1810,1357,453
546,536,10
1764,1702,62
535,508,27
85,62,23
3047,2614,433
1629,1484,145
1553,1367,186
2534,1789,745
426,254,172
398,310,88
780,524,256
89,72,17
617,608,9
133,124,9
546,539,7
8176,3244,4932
2036,1620,416
809,645,164
3115,2188,927
309,307,2
910,898,12
289,215,74
3646,2543,1103
1555,1508,47
331,311,20
150,145,5
875,852,23
3547,2686,861
766,715,51
3290,2303,987
1533,1496,37
179,151,28
4640,1900,2740
1399,1056,343
649,643,6
189,157,32
1422,1161,261
53,50,3
24,23,1
5224,3599,1625
2115,1693,422
87,87,0
41,41,0
1838,1246,592
3003,2775,228
727,720,7
234,234,0
676,637,39
759,723,36
735,470,265
3929,1589,2340
1245,441,804
4560,2615,1945
472,468,4
1214,895,319
287,265,22
6569,2820,3749
40,35,5
1654,537,1117
196,153,43
1886,1473,413
231,182,49
132,128,4
303,268,35
4827,2042,2785
110,108,2
2607,1781,826
1813,1417,396
70,64,6
722,702,20
834,640,194
1114,1105,9
1062,587,475
163,162,1
1404,1318,86
2565,1561,1004
137,122,15
672,612,60
336,311,25
3800,2470,1330
987,720,267
2053,1602,451
100,80,20
124,123,1
1931,1805,126
210,175,35
6447,3226,3221
1227,949,278
306,283,23
1995,1196,799
83,79,4
3933,2978,955
101,101,0
978,847,131
58,56,2
4844,2533,2311
221,198,23
169,162,7
1741,700,1041
927,744,183
1987,1375,612
414,347,67
503,500,3
3854,3120,734
63,49,14
90,80,10
4031,3257,774
452,437,15
1023,1010,13
398,381,17
386,365,21
2902,2488,414
2030,1047,983
1292,1051,241
5432,3337,2095
1005,912,93
1725,1680,45
277,146,131
78,75,3
332,234,98
585,504,81
897,582,315
4472,3495,977
1643,1589,54
118,107,11
2291,2195,96
4513,2574,1939
302,289,13
310,303,7
2659,1845,814
39,37,2
757,696,61
30,24,6
356,276,80
3843,2160,1683
327,132,195
1827,1154,673
4183,2802,1381
102,102,0
147,143,4
113,112,1
1471,1088,383
829,668,161
1859,1766,93
141,116,25
3174,2890,284
1857,1441,416
1093,1031,62
172,165,7
272,257,15
1351,867,484
896,848,48
472,466,6
3038,1224,1814
240,167,73
181,166,15
540,482,58
89,61,28
617,456,161
668,483,185
1158,1108,50
332,278,54
526,484,42
300,284,16
619,580,39
578,435,143
32,28,4
872,675,197
1045,716,329
119,110,9
865,862,3
340,187,153
1096,964,132
2582,1527,1055
1298,1124,174
276,221,55
623,352,271
2581,1132,1449
204,194,10
899,861,38
1793,1695,98
83,73,10
1288,1252,36
7579,3907,3672
414,376,38
2839,1827,1012
945,936,9
2284,1272,1012
54,53,1
2691,1626,1065
1823,1681,142
95,86,9
3091,2435,656
316,310,6
2468,1882,586
388,384,4
423,346,77
194,92,102
1269,1031,238
67,67,0
334,291,43
70,44,26
191,165,26
1336,1116,220
1147,904,243
161,156,5
196,184,12
582,576,6
1356,1023,333
